slug,name,category,tvl,tvl_change_1d,tvl_change_7d,tvl_change_30d,tvl_change_90d,volume_24h,volume_7d,volume_30d,volume_change_7d,volume_change_30d,aggregator_volume_24h,aggregator_volume_30d,fees_24h,fees_30d,fees_change_30d,revenue_24h,revenue_30d,mcap,capital_turnover,momentum
vectis-finance,Vectis Finance,Yield,4620551.415081875,0.07761504838794053,11.367574715836952,,,,,,,,,,0.0,13288.0,11.09,0.0,13288.0,,,59.2
bumpin-trade,Bumpin Trade,Derivatives,4531331.208357319,0.16459768611909453,7.313643599890597,,,,,,,,,,,,,,,,,
ratex-dex,RateX DEX,Yield,4059084.142511354,-0.15916582777509802,10.134624211433945,,,33449.0,200039.0,1218496.0,-16.37,54.27,,,334.0,12182.0,54.28,167.0,6092.08,,0.30018988452062906,65.0
fluxbeam,FluxBeam,Dexs,4033820.4418324986,3.6095952929007638,84.63632590911371,,,1000896.0,7821961.0,31163721.0,11.37,16.36,,,29.47,319.29,-11.75,29.47,319.29,,7.725609369425187,64.3
invesco-ustb,Invesco USTB,RWA,3909289.9118572227,0.8611156898483898,-0.10164674830954823,,,,,,,,,,,,,,,,,
synatra,Synatra,Yield Aggregator,3461841.611546147,0.06395600206575125,,,,,,,,,,,,,,,,,,
lantern-staked-sol,Lantern Staked SOL,Liquid Staking,3361471.920742824,0.005903285575371342,19.016940990077174,,,,,,,,,,586.0,10987.909999999998,61.7,37.0,1136.95,,,77.0
fragmetric,Fragmetric,Liquid Restaking,3237451.7137812194,0.12031213580858946,-35.077706517158276,,,,,,,,,,6.56,3172.7,28.08,6.56,1069.36,65058.11293178429,,47.8
scorch,Scorch,Dexs,3078355.3488224195,0.8748924871963197,17.833582656749613,,,129408208.0,568195849.0,2432876408.0,15.49,20.58,,,,,,,,,790.3169492536532,64.3
mansory,Mansory,RWA,3014462.556698519,0.21142853783098303,9.903013892945339,,,,,,,,,,,,,,,6986339.77615524,,
sunny,Sunny,Yield,2994335.0978456866,0.10981471935886589,13.082097492419194,,,,,,,,,,,,,,,,,
sosovalue-indexes,SoSoValue Indexes,Indexes,2955691.9566530725,0.05378317135473765,16.142139431719585,,,,,,,,,,,,,,,,,
